Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Manuf_0001,"$20,255.00 ",1,Manuf,,,,,28,1.56,,,,,,,,,,,,,416,80
Manuf_0002,"$16,395.00 ",1,Manuf,,,,,34,2.71,,,,,,,,,,,,,416,208
Manuf_0003,"$21,581.00 ",1,Manuf,,,,,34,2.95,,,,,,,,,,,,,416,320
Manuf_0004,"$19,070.00 ",1,Manuf,,,,,35,1.85,,,,,,,,,,,,,416,448
Manuf_0005,"$21,641.00 ",1,Manuf,,,,,34,1.8,,,,,,,,,,,,,416,576
Manuf_0006,"$19,452.00 ",1,Manuf,,,,,35,2.67,,,,,,,,,,,,,416,704
Part_0001,"$1,091.00 ",3,Part,,,,,7,0.18,,,,,,,,,,,,,80,16
Part_0002,"$5,147.00 ",3,Part,,,,,10.35,0.26,,,,,,,,,,,,,80,80
Part_0003,"$4,696.00 ",3,Part,,,,,10.19,0.31,,,,,,,,,,,,,80,144
Part_0004,"$4,281.00 ",3,Part,,,,,9.31,0.34,,,,,,,,,,,,,80,208
Part_0005,"$8,045.00 ",3,Part,,,,,25,0.3,,,,,,,,,,,,,80,272
Part_0006,"$8,799.00 ",3,Part,,,,,8.54,0.2,,,,,,,,,,,,,80,336
Part_0007,"$24,192.00 ",3,Part,,,,,10,3,,,,,,,,,,,,,80,400
Part_0008,"$10,070.00 ",3,Part,,,,,33,3.1,,,,,,,,,,,,,80,464
Part_0009,"$11,179.00 ",3,Part,,,,,6,0.15,,,,,,,,,,,,,80,528
Part_0010,"$11,028.00 ",3,Part,,,,,9,0.33,,,,,,,,,,,,,80,592
Part_0011,"$11,269.00 ",3,Part,,,,,7,0.2,,,,,,,,,,,,,80,656
Part_0012,"$11,988.00 ",3,Part,,,,,4,0.05,,,,,,,,,,,,,80,720
Part_0013,"$37,499.00 ",3,Part,,,,,7,0.16,,,,,,,,,,,,,80,784
Retail_0001,$849.00 ,0,Retail,2.03,1.60,10,95%,6,1.66,,,,,,,,,,,,,560,80
Retail_0002,$726.00 ,0,Retail,1.99,0.86,10,95%,4,1.51,,,,,,,,,,,,,560,208
Retail_0003,$953.00 ,0,Retail,0.90,1.00,10,95%,6,2.98,,,,,,,,,,,,,560,320
Retail_0004,"$1,023.00 ",0,Retail,1.34,1.09,10,95%,5,0.2,,,,,,,,,,,,,560,448
Retail_0005,$840.00 ,0,Retail,0.74,0.81,10,95%,5,0.18,,,,,,,,,,,,,560,576
Retail_0006,$730.00 ,0,Retail,1.07,0.67,10,95%,7,0.12,,,,,,,,,,,,,560,704
Trans_0001,$98.00 ,2,Trans,,,,,12,0.43,,,,,,,,,,,,,240,16
Trans_0002,$124.00 ,2,Trans,,,,,8,0.28,,,,,,,,,,,,,240,80
Trans_0003,$142.00 ,2,Trans,,,,,7,0.23,,,,,,,,,,,,,240,144
Trans_0004,$145.00 ,2,Trans,,,,,7,0.25,,,,,,,,,,,,,240,208
Trans_0005,$138.00 ,2,Trans,,,,,9,1.77,,,,,,,,,,,,,240,272
Trans_0006,$118.00 ,2,Trans,,,,,9,2.89,,,,,,,,,,,,,240,336
Trans_0007,$321.00 ,2,Trans,,,,,8,0.29,,,,,,,,,,,,,240,400
Trans_0008,$248.00 ,2,Trans,,,,,6.66,0.16,,,,,,,,,,,,,240,464
Trans_0009,$90.00 ,2,Trans,,,,,8.9,0.25,,,,,,,,,,,,,240,528
Trans_0010,$495.00 ,2,Trans,,,,,34,0.65,,,,,,,,,,,,,240,592
Trans_0011,$35.00 ,2,Trans,,,,,7.74,0.19,,,,,,,,,,,,,240,656
Trans_0012,$137.00 ,2,Trans,,,,,8.71,0.23,,,,,,,,,,,,,240,720
Trans_0013,$148.00 ,2,Trans,,,,,7.32,0.26,,,,,,,,,,,,,240,784
