Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Dist_0001,$400.00 ,1,Dist,70,35,0,95%,1.00,,,,,,,,,,,,,,384,272
Dist_0002,$150.00 ,0,Dist,126,132.3,0,95%,1.20,0.40,1,80%,2,20%,,,,,,,,,480,64
Dist_0003,$250.00 ,0,Dist,57,51.3,0,95%,4.30,0.64,4,80%,5,10%,6,10%,,,,,,,480,144
Dist_0004,$335.40 ,0,Dist,46,45,0,95%,4.20,0.40,4,80%,5,20%,,,,,,,,,480,240
Manuf_0001,$300.00 ,3,Manuf,,,,,12.00,,,,,,,,,,,,,,192,32
Manuf_0002,$250.00 ,3,Manuf,,,,,10.00,,,,,,,,,,,,,,192,272
Manuf_0003,$50.00 ,1,Manuf,,,,,10.00,,,,,,,,,,,,,,384,64
Manuf_0004,$60.00 ,1,Manuf,,,,,10.00,,,,,,,,,,,,,,384,192
Part_0001,"$1,100.00 ",4,Part,,,,,45.00,6.71,40,60%,50,30%,60,10%,,,,,,,96,32
Part_0002,$600.00 ,4,Part,,,,,37.50,7.50,30,50%,45,50%,,,,,,,,,96,112
Part_0003,$400.00 ,4,Part,,,,,53.50,4.50,50,50%,55,40%,65,10%,,,,,,,96,192
Part_0004,"$1,100.00 ",4,Part,,,,,26.00,6.63,20,50%,30,40%,40,10%,,,,,,,96,272
Part_0005,"$1,500.00 ",3,Part,,,,,31.00,6.63,25,50%,35,40%,45,10%,,,,,,,192,144
Trans_0001,$0.00 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,288,32
Trans_0002,$3.00 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,288,112
Trans_0003,$2.00 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,288,192
Trans_0004,$0.00 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,288,272
