Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Dist_0001,$5.63 ,3,Dist,,,,,8,,,,,,,,,,,,,,1232,32
Dist_0002,$10.11 ,3,Dist,,,,,3,,,,,,,,,,,,,,1232,176
Dist_0003,$8.77 ,3,Dist,,,,,3,,,,,,,,,,,,,,1232,256
Dist_0004,$6.13 ,3,Dist,,,,,3,,,,,,,,,,,,,,1232,336
Dist_0005,$7.83 ,3,Dist,,,,,4,,,,,,,,,,,,,,1232,400
Dist_0006,$6.40 ,3,Dist,,,,,1,,,,,,,,,,,,,,1232,480
Dist_0007,$28.28 ,3,Dist,,,,,11,,,,,,,,,,,,,,1232,640
Dist_0008,$12.84 ,3,Dist,,,,,3,,,,,,,,,,,,,,1232,720
Dist_0009,$22.09 ,3,Dist,,,,,7,,,,,,,,,,,,,,1232,800
Dist_0010,$8.49 ,3,Dist,,,,,0,,,,,,,,,,,,,,1232,960
Dist_0011,$8.24 ,3,Dist,,,,,1,,,,,,,,,,,,,,1232,1040
Dist_0012,$6.89 ,3,Dist,,,,,8,,,,,,,,,,,,,,1232,1120
Dist_0013,$1.35 ,3,Dist,,,,,3,,,,,,,,,,,,,,1232,1520
Dist_0014,$1.91 ,3,Dist,,,,,12,,,,,,,,,,,,,,1232,1792
Dist_0015,$6.49 ,3,Dist,,,,,4,,,,,,,,,,,,,,1232,1856
Dist_0016,$2.27 ,3,Dist,,,,,6,,,,,,,,,,,,,,1232,2080
Dist_0017,$0.90 ,3,Dist,,,,,6,,,,,,,,,,,,,,1232,2400
Dist_0018,$4.88 ,3,Dist,,,,,7,,,,,,,,,,,,,,1232,2624
Dist_0019,$5.78 ,3,Dist,,,,,9,,,,,,,,,,,,,,1232,2816
Dist_0020,$3.23 ,3,Dist,,,,,8,,,,,,,,,,,,,,1232,2880
Dist_0021,$2.64 ,3,Dist,,,,,2,,,,,,,,,,,,,,1232,3104
Dist_0022,$9.66 ,3,Dist,,,,,2,,,,,,,,,,,,,,1232,3344
Dist_0023,$1.24 ,3,Dist,,,,,6,,,,,,,,,,,,,,1232,3568
Dist_0024,$4.84 ,3,Dist,,,,,1,,,,,,,,,,,,,,1232,3632
Dist_0025,$0.70 ,3,Dist,,,,,6,,,,,,,,,,,,,,1232,3792
Dist_0026,$1.08 ,3,Dist,,,,,3,,,,,,,,,,,,,,1232,3888
