Stage Name,stageCost,relDepth,stageClassification,avgDemand,stdDevDemand,maxServiceTime,serviceLevel,stageTime,stdDev stageTime,stageTime_1,stageTime_%_1,stageTime_2,stageTime_%_2,stageTime_3,stageTime_%_3,stageTime_4,stageTime_%_4,stageTime_5,stageTime_%_5,stageTime_6,stageTime_%_6,xPosition,yPosition
Dist_0001,$0.25 ,0,Dist,760.23,3.01,0,96%,9.00,2.00,,,,,,,,,,,,,496,32
Dist_0002,$0.05 ,0,Dist,291.05,2.92,0,96%,2.00,1.00,,,,,,,,,,,,,496,96
Dist_0003,$0.35 ,0,Dist,196.78,2.5,0,96%,14.00,3.00,,,,,,,,,,,,,496,160
Dist_0004,$0.25 ,0,Dist,126.53,3.09,0,96%,9.00,2.00,,,,,,,,,,,,,496,224
Dist_0005,$0.05 ,0,Dist,40.12,2.81,0,96%,2.00,1.00,,,,,,,,,,,,,496,288
Dist_0006,$0.35 ,0,Dist,191.48,2.57,0,96%,14.00,3.00,,,,,,,,,,,,,496,352
Dist_0007,$0.25 ,0,Dist,1708.98,3.15,0,96%,9.00,2.00,,,,,,,,,,,,,496,416
Dist_0008,$0.05 ,0,Dist,857.28,2.83,0,96%,2.00,1.00,,,,,,,,,,,,,496,480
Dist_0009,$0.35 ,0,Dist,156.35,2.63,0,96%,14.00,3.00,,,,,,,,,,,,,496,544
Dist_0010,$0.25 ,0,Dist,1600.58,3.14,0,96%,9.00,2.00,,,,,,,,,,,,,496,608
Dist_0011,$0.05 ,0,Dist,1001.53,2.91,0,96%,2.00,1.00,,,,,,,,,,,,,496,688
Dist_0012,$0.35 ,0,Dist,881.83,2.5,0,96%,14.00,3.00,,,,,,,,,,,,,496,768
Manuf_0001,$0.25 ,3,Manuf,,,,,53.00,,,,,,,,,,,,,,80,96
Manuf_0002,$0.85 ,3,Manuf,,,,,60.00,,,,,,,,,,,,,,80,192
Manuf_0003,$0.15 ,3,Manuf,,,,,53.00,,,,,,,,,,,,,,80,288
Manuf_0004,$0.83 ,3,Manuf,,,,,53.00,,,,,,,,,,,,,,80,480
Manuf_0005,$0.91 ,3,Manuf,,,,,60.00,,,,,,,,,,,,,,80,576
Manuf_0006,$0.86 ,3,Manuf,,,,,53.00,,,,,,,,,,,,,,80,688
Manuf_0007,$1.21 ,1,Manuf,,,,,20.00,5.00,,,,,,,,,,,,,352,96
Manuf_0008,$1.43 ,1,Manuf,,,,,20.00,5.00,,,,,,,,,,,,,352,288
Manuf_0009,$1.11 ,1,Manuf,,,,,18.00,4.00,,,,,,,,,,,,,352,480
Manuf_0010,$1.16 ,1,Manuf,,,,,18.00,4.00,,,,,,,,,,,,,352,688
Trans_0001,$0.10 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,208,96
Trans_0002,$0.05 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,208,192
Trans_0003,$0.10 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,208,288
Trans_0004,$0.10 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,208,480
Trans_0005,$0.05 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,208,576
Trans_0006,$0.10 ,2,Trans,,,,,2.00,,,,,,,,,,,,,,208,688
